### PRE-FIX PREVIEW, AND INCOMPLETE. READ THE HEADER BEFORE ANY NUMBER.
###
### This is `near-field` only. The run was STOPPED after that region for two reasons, both
### recorded rather than tidied away:
###
###   1. The table below is sorted by |blocked rho| and prints only the top 60 of 162 rows --
###      sorted by the scale-free statistic while the OPERATIONAL one decides, and hiding rows.
###      `lay_w_perimeter` beating breadth-first was visible by luck. The example now prints
###      every row sorted by error(B) and counts how many beat uniform per budget.
###   2. A suspected upstream artefact (RESULTS §21) had to be settled before anything was
###      built on these numbers.
###
### §21 settled it: `near-field` is BITWISE UNAFFECTED by the sync-cadence artefact at every
### escape-test stride, because its escape arm is silent at t = 13 and it terminates by
### collision. So the near-field findings here stand -- monotone DP labels, the blocked-rho
### sign flip on `spread_median`, ftle carrying information in the right direction, and
### `lay_w_perimeter` at 0.07605 against uniform's 0.08480 and dp's 0.07025 at B = 6143.
###
### `deep interior` and the latent charts are NOT covered here and ARE affected -- the finer
### cadence re-labels half of `deep interior` from collision to escape. Kept as the "before".
###
    Finished `release` profile [optimized] target(s) in 0.08s
     Running `target/release/examples/signal_audit 7 8 1e-4 13 /private/tmp/claude-501/-Users-malachy-src-principia-rs-test/116aa3fe-f502-40a0-b6f8-c40769726fb9/scratchpad/sa_full`
complete tree to level 7, N=8, E+1=8, res 1024^2, tau=1e-4, t=13 n_sync=32, f64, FTLE dt=1e-4 (130000 leapfrog steps/footprint)
21845 quads per region, 5461 splits at the full tree
label ladder B = [169, 681, 2729, 10921]   (labels are the DP optimum's own split decisions)

=== near-field === built in 3941.6s; error(root)=0.20192

  [1] total_substeps per quad, BY LEVEL. Every quad carries the same N^2 x (E+1)
      trajectories whatever its level, so a deep quad lying wholly inside a
      collision zone is all-hot where the root averages the region -- the spread
      should widen with depth, and a pooled row would hide it.
  level    quads           p1          p50          p99          max     p99/p1
      0        1     1.9427e6     1.9427e6     1.9427e6     1.9427e6     1.0000
      1        4     1.9118e6     1.9661e6     2.0231e6     2.0231e6     1.0582
      2       16     1.8673e6     1.9551e6     2.0360e6     2.0360e6     1.0903
      3       64     1.7924e6     1.9748e6     2.0436e6     2.0456e6     1.1402
      4      256     1.5759e6     1.9810e6     2.0454e6     2.0483e6     1.2979
      5     1024     1.5394e6     1.9827e6     2.0470e6     2.0500e6     1.3297
      6     4096     1.4833e6     1.9843e6     2.0470e6     2.0503e6     1.3800
      7    16384     1.4829e6     1.9851e6     2.0473e6     2.0508e6     1.3806
 pooled    21845     1.4831e6     1.9849e6     2.0472e6     2.0508e6     1.3804   <- POOLED over levels; the two framings answer different questions

  [2] LABEL STABILITY. A quad not in the optimal tree was never decided, so it is
      absent rather than labelled `keep`. Churn is over SHARED quads only -- a quad
      present at one budget and not the other has not changed its decision, and
      counting it folds the tree's growth into a statistic about its stability.
       B    in tree    split     keep    shared     flips      0->1      1->0
     169        169       42      127         0         0         0         0
     681        681      170      511       169        91        91         0
    2729       2729      682     2047       681       241       241         0
   10921      10921     2730     8191      2729      1049      1049         0

      flips between the first and last ladder rungs, by level:
  level    shared      0->1      1->0
      0         1         0         0
      1         4         0         0
      2        16         1         0
      3        60        37         0
      4        88        87         0

      table -> /private/tmp/claude-501/-Users-malachy-src-principia-rs-test/116aa3fe-f502-40a0-b6f8-c40769726fb9/scratchpad/sa_full/audit/signal_audit_near-field.tsv (21845 rows x 54 signal columns)

  [3] SPEARMAN against the DP label, per budget, with error(B) beside it.
      High rho with poor error(B) says the signal is worth RESCALING; low both
      says worth DROPPING. Nothing in the corpus could tell those apart.
      `distinct` and `modal%` decide what a flat error row means -- a bad ordering
      and NO ordering give the same curve. `nan%` is a property to read, not a
      defect to hide.
      `blk` is BLOCKED BY LEVEL and `pool` is not. Read `blk`. `level` itself
      scores |rho| = 0.99 pooled -- the optimum splits shallow quads -- so the
   contrast:total_substeps    7776     0.1    0.0   0.262   0.297   0.074  -0.040 |   0.396   0.391   0.264   0.221  |  0.15858  0.14486  0.14055  0.11352  0.08534  0.00000
   lay_w_n_components/cost   20588     1.3    0.0  -0.160  -0.207  -0.224  -0.295 |   0.060   0.035  -0.335  -0.457  |  0.16396  0.16381  0.16310  0.15954  0.13875  0.00000
        spread_median/cost   21845     0.0    0.0  -0.188  -0.114  -0.142  -0.269 |   0.217   0.263   0.346   0.486  |  0.15927  0.15896  0.15764  0.15026  0.11322  0.00000
  spread_shape_median/cost   21845     0.0    0.0  -0.188  -0.114  -0.142  -0.269 |   0.217   0.263   0.346   0.486  |  0.15927  0.15896  0.15764  0.15026  0.11322  0.00000
       t_end_gradient/cost     569    97.4   97.4     NaN   0.190  -0.183  -0.268 |   0.615   0.450   0.301   0.351  |  0.15816  0.15520  0.15287  0.11236  0.08439  0.00000
 contrast:layrel_b_largest      25     9.4    0.0   0.268   0.083   0.008   0.033 |  -0.209  -0.290  -0.182  -0.011  |  0.15212  0.14748  0.14335  0.13326  0.09558  0.00000
             spread_median   21649     0.2    0.0  -0.173  -0.098  -0.134  -0.257 |   0.225   0.273   0.349   0.488  |  0.15927  0.15896  0.15764  0.14956  0.11168  0.00000
       spread_shape_median   21712     0.0    0.0  -0.173  -0.098  -0.134  -0.257 |   0.225   0.273   0.349   0.488  |  0.15927  0.15896  0.15764  0.14956  0.11168  0.00000
         contrast:ftle_p90   15294     0.0    0.0   0.179   0.253   0.088   0.045 |   0.117   0.163   0.156   0.151  |  0.16296  0.16231  0.15903  0.14291  0.09100  0.00000
        lay_w_n_components      12    56.4    0.0   0.244   0.107   0.028   0.093 |   0.061   0.104  -0.337  -0.446  |  0.14813  0.13544  0.12414  0.10957  0.08172  0.00000
    contrast:lay_w_largest      58    15.4    0.0   0.112   0.103   0.132   0.234 |   0.142  -0.300  -0.277  -0.136  |  0.15212  0.14795  0.14480  0.12160  0.08035  0.00000
           ftle_frac_above      65    28.4    0.0   0.198   0.138   0.178   0.233 |   0.007  -0.016  -0.031  -0.032  |  0.16472  0.16427  0.16140  0.15217  0.10115  0.00000
  contrast:lay_w_perimeter    9350    14.6    1.4   0.112   0.102   0.122   0.233 |   0.145  -0.304  -0.331  -0.309  |  0.15212  0.14806  0.14471  0.11564  0.07985  0.00000
          spread_mean/cost   21845     0.0    0.0  -0.047  -0.017  -0.090  -0.227 |   0.246   0.271   0.321   0.417  |  0.15812  0.15747  0.15247  0.13748  0.10592  0.00000
   layrel_b_perimeter/cost   21761     0.0    0.0   0.226   0.125   0.029   0.010 |  -0.407  -0.168   0.082   0.297  |  0.16023  0.15977  0.15710  0.14511  0.10213  0.00000
        layrel_b_perimeter      68     3.6    0.0   0.225   0.142   0.052   0.066 |  -0.414  -0.170   0.088   0.301  |  0.16023  0.15976  0.15710  0.14510  0.10218  0.00000
contrast:layrel_b_n_components      14    31.5    0.0   0.225  -0.074  -0.025  -0.034 |  -0.184  -0.031   0.129   0.243  |  0.16415  0.16234  0.15960  0.14590  0.09361  0.00000
           lay_w_perimeter    1171    23.9    1.3   0.199   0.107   0.128   0.220 |   0.104  -0.236  -0.382  -0.526  |  0.15804  0.15656  0.15249  0.11449  0.07605  0.00000
      lay_w_perimeter/cost   16325    23.9    1.3   0.199   0.107   0.128   0.219 |   0.104  -0.236  -0.379  -0.525  |  0.15804  0.15656  0.15249  0.11449  0.07605  0.00000
     divergence_trend/cost   21845     0.0    0.0  -0.059  -0.134  -0.115  -0.217 |   0.186   0.307   0.373   0.507  |  0.15883  0.15784  0.15680  0.14677  0.10785  0.00000
               spread_mean   21845     0.0    0.0  -0.037  -0.003  -0.081  -0.217 |   0.258   0.283   0.328   0.424  |  0.15812  0.15747  0.15245  0.13748  0.10317  0.00000
   worst_energy_drift/cost   21845     0.0    0.0  -0.158  -0.100  -0.098  -0.216 |   0.239   0.148   0.089   0.055  |  0.16394  0.16356  0.15765  0.14085  0.10591  0.00000
        worst_energy_drift   20499     0.0    0.0  -0.153  -0.100  -0.098  -0.215 |   0.244   0.150   0.090   0.055  |  0.16394  0.16356  0.15765  0.14085  0.10589  0.00000
               ftle_median   21623     0.0    0.0   0.158   0.124   0.167   0.213 |   0.009  -0.004  -0.009  -0.001  |  0.16436  0.16382  0.16162  0.15214  0.10113  0.00000
                 ftle_mean   21845     0.0    0.0   0.175   0.160   0.179   0.213 |   0.048   0.050   0.023   0.022  |  0.15867  0.15809  0.15428  0.14299  0.09834  0.00000
  contrast:escape_fraction       5    99.3    0.0   0.213   0.135   0.060   0.020 |   0.068   0.082   0.048   0.024  |  0.14813  0.13609  0.12781  0.10938  0.08446  0.00000
      ftle_frac_above/cost   15455    28.4    0.0   0.212   0.137   0.169   0.207 |   0.018  -0.011  -0.026  -0.030  |  0.16435  0.16392  0.16168  0.15217  0.10120  0.00000
contrast:frac_above_tau_within      57    15.4    0.0   0.112   0.103   0.117   0.211 |   0.139  -0.301  -0.302  -0.281  |  0.15212  0.14796  0.14487  0.12160  0.08035  0.00000
      contrast:lay_w_n_hot      57    15.4    0.0   0.112   0.103   0.117   0.211 |   0.139  -0.301  -0.302  -0.281  |  0.15212  0.14796  0.14487  0.12160  0.08035  0.00000
running_max_divergence/cost   21845     0.0    0.0  -0.176  -0.209  -0.140  -0.210 |   0.274   0.335   0.373   0.504  |  0.16391  0.16363  0.15787  0.15048  0.10254  0.00000
 contrast:layrel_w_largest      27     9.6    0.0  -0.210   0.038   0.029   0.017 |  -0.129   0.026   0.018   0.041  |  0.16369  0.16292  0.16027  0.15271  0.10090  0.00000
       between_spread/cost   21842     0.0    0.0  -0.122  -0.053  -0.094  -0.209 |   0.455   0.358   0.234   0.188  |  0.15815  0.15678  0.15243  0.12947  0.09426  0.00000
        between_shape/cost   21845     0.0    0.0  -0.122  -0.053  -0.095  -0.209 |   0.455   0.361   0.235   0.188  |  0.15815  0.15681  0.15243  0.12701  0.09426  0.00000
           spread_p90/cost   21844     0.0    0.0  -0.028  -0.020  -0.087  -0.207 |   0.237   0.174   0.206   0.239  |  0.15807  0.15748  0.15011  0.14060  0.11259  0.00000
   contrast:diffusion_mean   18191     0.0    0.0   0.063   0.206   0.145   0.131 |   0.139   0.220   0.235   0.276  |  0.16382  0.15429  0.14534  0.13608  0.09118  0.00000
          divergence_trend   21724     0.0    0.0  -0.052  -0.124  -0.105  -0.203 |   0.190   0.316   0.375   0.508  |  0.15883  0.15577  0.15462  0.14602  0.10579  0.00000
           error_ratio_max   19985     0.0    0.0  -0.175  -0.091  -0.114  -0.201 |   0.078  -0.011  -0.070  -0.080  |  0.16394  0.16370  0.15765  0.15307  0.10776  0.00000
                  ftle_p90   21449     0.0    0.0   0.146   0.164   0.178   0.201 |   0.118   0.100   0.078   0.070  |  0.16054  0.15997  0.15720  0.14281  0.09441  0.00000
    contrast:diffusion_p90   18281     0.0    0.0   0.092   0.201   0.156   0.147 |   0.151   0.199   0.238   0.261  |  0.16356  0.15397  0.14935  0.13084  0.09277  0.00000
    running_max_divergence   21712     0.0    0.0  -0.183  -0.200  -0.131  -0.194 |   0.277   0.340   0.374   0.504  |  0.16391  0.16356  0.15787  0.14980  0.10104  0.00000
     frac_above_tau_within      65    23.9    0.0  -0.199  -0.107  -0.109  -0.191 |  -0.098   0.238   0.374   0.555  |  0.15541  0.14803  0.13968  0.12925  0.11201  0.00000
      (162 rows total, top 60 by |rho| shown; the full set is in the TSV)
                   uniform       -       -      -       -       -       -       - |       -       -       -       -  |  0.14813  0.13661  0.12442  0.10984  0.08480  0.00000
        greedy_lookahead_1       -       -      -       -       -       -       - |       -       -       -       -  |  0.14813  0.13467  0.12243  0.10668  0.07075  0.00000
      dp_optimal (CEILING)       -       -      -       -       -       -       - |       -       -       -       -  |  0.14813  0.13467  0.12243  0.10664  0.07025  0.00000

      NOTE: the FTLE march is the UNREGULARISED fixed-step leapfrog, so near a
      close approach it is not trustworthy. An ftle_* result in `deep interior`
      carries that; a spread_* result does not.

