256^2, arm set `all`, shared colour windows, max_steps=400000, refine_flagged=false.

  **The UNMASKED kernel.** The repair pass re-integrates from t = 0, has no live
  analogue, and removes the population this comparison is about.

  **Arms are matched on FORCE EVALUATIONS, not steps.** RK4 spends 4 per step and KDK 1,
  so the leapfrog arms run at eta/4. That is a NOMINAL match: the predictive limit is an
  absolute bound, not an `eta` multiple, so it binds less at smaller `eta` and the step
  count lands below 4x. **Read each row at the evaluations it actually spent.**
       deep_interior  logh_rk4_nolim    3.724e1    1.204e4    2.618e8  65536    3.808e4    1.523e5   1033   1041      1 0.0087   136.8
                      logh_rk4_nolim   gain_vs_az: p10 -11.72  p50 -10.39  p90 -9.03  frac better 0.0005  n 64462
                      logh_rk4_nolim   gain_vs_heggie: p10 -12.01  p50 -10.50  p90 -8.94  frac better 0.0000  n 64307
       deep_interior         logh_lf   4.537e-5   4.828e-4    9.376e0    599    1.947e5    1.947e5    216    216      0 0.0000   299.4
                             logh_lf   gain_vs_az: p10 -5.21  p50 -4.51  p90 -3.47  frac better 0.0110  n 65283
                             logh_lf   gain_vs_heggie: p10 -5.41  p50 -4.68  p90 -3.38  frac better 0.0001  n 65174
       deep_interior   logh_lf_nolim   3.365e-4   6.365e-1    1.278e4  25255    1.468e5    1.468e5      0      0      0 0.0000   226.2
                       logh_lf_nolim   gain_vs_az: p10 -6.82  p50 -5.41  p90 -4.41  frac better 0.0065  n 65494
                       logh_lf_nolim   gain_vs_heggie: p10 -7.04  p50 -5.56  p90 -4.26  frac better 0.0000  n 65337
       deep_interior       plain_rk4    2.240e2    2.360e5    4.712e9  65536    2.640e4    1.056e5      0      0      0 0.9898    95.4
                           plain_rk4   gain_vs_az: p10 -12.25  p50 -11.21  p90 -10.25  frac better 0.0003  n 65494
                           plain_rk4   gain_vs_heggie: p10 -12.62  p50 -11.37  p90 -9.97  frac better 0.0000  n 65337
       deep_interior        plain_lf    1.869e2    3.085e4    6.227e8  65536    1.056e5    1.056e5      0      0      0 0.9887   167.1
                            plain_lf   gain_vs_az: p10 -11.90  p50 -11.15  p90 -10.33  frac better 0.0003  n 65494
                            plain_lf   gain_vs_heggie: p10 -12.27  p50 -11.32  p90 -9.97  frac better 0.0000  n 65337

                case             arm  drift p50  drift p99    err p99 err>10  steps p50  evals p50 nonfin budget   over escape    secs
        preset_shape              az   3.525e-7   3.296e-2    1.194e1    702    4.054e4    1.621e5      4      3      0 0.0001   126.3
        preset_shape          heggie  3.295e-10   6.680e-7    1.000e0      0    7.100e4    2.840e5    217    219      0 0.0001   270.5
                              heggie   gain_vs_az: p10 +0.90  p50 +2.54  p90 +5.20  frac better 0.9760  n 65317
        preset_shape        logh_rk4   1.223e-8   3.507e-6    1.000e0     10    7.058e4    2.823e5    221    223      0 0.0001   257.5
                            logh_rk4   gain_vs_az: p10 -0.64  p50 +1.04  p90 +3.60  frac better 0.7408  n 65313
                            logh_rk4   gain_vs_heggie: p10 -2.53  p50 -1.58  p90 -0.47  frac better 0.0359  n 65315
        preset_shape  logh_rk4_nolim    5.916e0    2.390e3    1.353e6  55604    3.477e4    1.391e5    438    439      0 0.0039   117.0
                      logh_rk4_nolim   gain_vs_az: p10 -9.61  p50 -6.89  p90 -3.34  frac better 0.0082  n 65094
                      logh_rk4_nolim   gain_vs_heggie: p10 -11.92  p50 -9.79  p90 -6.76  frac better 0.0000  n 64901
        preset_shape         logh_lf   2.479e-5   6.226e-4    1.104e0     13    1.549e5    1.549e5    243    245      0 0.0002   287.3
                             logh_lf   gain_vs_az: p10 -4.07  p50 -1.96  p90 +0.39  frac better 0.1416  n 65291
                             logh_lf   gain_vs_heggie: p10 -5.97  p50 -4.88  p90 -3.29  frac better 0.0000  n 65269
        preset_shape   logh_lf_nolim   1.341e-4   3.232e-1    1.324e2   3153    1.359e5    1.359e5      0      0      0 0.0001   184.2
                       logh_lf_nolim   gain_vs_az: p10 -4.90  p50 -2.98  p90 -0.31  frac better 0.0732  n 65532
                       logh_lf_nolim   gain_vs_heggie: p10 -7.12  p50 -5.61  p90 -4.05  frac better 0.0000  n 65319
        preset_shape       plain_rk4    1.550e4    9.752e8   1.947e11  65392    2.640e4    1.056e5      0      0      0 0.9667    90.4
                           plain_rk4   gain_vs_az: p10 -13.50  p50 -10.97  p90 -7.97  frac better 0.0003  n 65532
                           plain_rk4   gain_vs_heggie: p10 -15.63  p50 -13.71  p90 -11.79  frac better 0.0000  n 65319
        preset_shape        plain_lf    1.376e4    9.280e8   2.084e11  63418    1.056e5    1.056e5      0      0      0 0.8717   152.8
                            plain_lf   gain_vs_az: p10 -13.42  p50 -10.69  p90 -7.25  frac better 0.0003  n 65532
                            plain_lf   gain_vs_heggie: p10 -15.61  p50 -13.56  p90 -11.16  frac better 0.0000  n 65319

                case             arm  drift p50  drift p99    err p99 err>10  steps p50  evals p50 nonfin budget   over escape    secs
     preset_shape_h1              az   2.475e-6   4.465e-1    9.319e2   2223    3.544e4    1.417e5     11      8      0 0.0008   101.4
     preset_shape_h1          heggie  7.830e-11   7.104e-8    1.000e0      0    4.776e4    1.911e5      5      9      0 0.0008   165.3
                              heggie   gain_vs_az: p10 +1.64  p50 +4.42  p90 +6.51  frac better 0.9916  n 65520
     preset_shape_h1        logh_rk4   4.466e-9   6.235e-7    1.000e0      9    4.726e4    1.890e5      7     11      0 0.0008   168.0
                            logh_rk4   gain_vs_az: p10 +0.50  p50 +2.74  p90 +4.78  frac better 0.9467  n 65518
                            logh_rk4   gain_vs_heggie: p10 -2.39  p50 -1.65  p90 -0.79  frac better 0.0044  n 65529
     preset_shape_h1  logh_rk4_nolim   4.030e-1    2.107e3    4.939e6  41904    3.258e4    1.303e5    169    171      0 0.0052   131.1
                      logh_rk4_nolim   gain_vs_az: p10 -8.15  p50 -4.34  p90 -0.50  frac better 0.0597  n 65357
                      logh_rk4_nolim   gain_vs_heggie: p10 -12.39  p50 -9.22  p90 -4.58  frac better 0.0000  n 65362
     preset_shape_h1         logh_lf   7.730e-6   2.590e-4    1.346e0     92    1.308e5    1.308e5      6     10      0 0.0008   290.6
                             logh_lf   gain_vs_az: p10 -2.32  p50 -0.56  p90 +1.42  frac better 0.3641  n 65519
                             logh_lf   gain_vs_heggie: p10 -5.71  p50 -4.87  p90 -3.68  frac better 0.0000  n 65530
     preset_shape_h1   logh_lf_nolim   2.020e-5   3.756e-2    1.062e2   2158    1.231e5    1.231e5      0      0      0 0.0008   220.8
                       logh_lf_nolim   gain_vs_az: p10 -2.92  p50 -1.08  p90 +0.97  frac better 0.2252  n 65525
                       logh_lf_nolim   gain_vs_heggie: p10 -6.69  p50 -5.32  p90 -3.85  frac better 0.0000  n 65531
     preset_shape_h1       plain_rk4    1.252e3    1.433e7   3.091e10  64010    2.640e4    1.056e5      0      0      0 0.9033    98.9
                           plain_rk4   gain_vs_az: p10 -11.36  p50 -8.72  p90 -5.82  frac better 0.0011  n 65525
                           plain_rk4   gain_vs_heggie: p10 -15.32  p50 -13.20  p90 -10.92  frac better 0.0000  n 65531
     preset_shape_h1        plain_lf    8.470e2    1.321e7   2.841e10  59533    1.056e5    1.056e5      0      0      0 0.7988   170.5
                            plain_lf   gain_vs_az: p10 -11.31  p50 -8.36  p90 -3.61  frac better 0.0030  n 65525
                            plain_lf   gain_vs_heggie: p10 -15.31  p50 -13.03  p90 -6.92  frac better 0.0000  n 65531

HOW TO READ THIS

**Read the stepper-only control first.** `plain_rk4` against `plain_lf` at equal
evaluations is the stepper's own contribution. If they differ substantially, that
amount is inside every other comparison in the table; if they agree, the
regularisation comparison is clean.

**Then `logh_lf` against `heggie`.** That is the falsification test. logH has no chart
and therefore no re-registration at all, which is a stronger form of the property
Heggie's win is attributed to. If it loses, the attribution is wrong or incomplete and
the next candidates are the KS square-root's own round-off and the per-boundary energy
re-freeze -- a real fork that deserves its own run, not a paragraph.

**`far` is prediction 2.** AZ wins it outright today, on all 65536 pixels by a flat
0.7-0.9 decades, and that win is attributed to AZ never re-registering there. A method
that never re-registers anywhere should not lose it.

**`logh_rk4` against `logh_lf` is prediction 4.** On shell `K + B == U`, so an
integrator that evaluates both denominators at the same point sees only a Sundman
transformation; the leapfrog sees them at different points and that asymmetry is the
method. If the two arms come out alike, that prediction is wrong and so is Mikkola &
Merritt's sentence it rests on.

**`err>10` is the project's own flag for *this pixel is not data*.** A count locates
nothing -- read the gain map for where, and the decile ladder for how much.
